"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31105132723,3132723,312,"Forde",3,"Queensland",0.2347
31105132724,3132724,312,"Forde",3,"Queensland",0.1789
31105132725,3132725,312,"Forde",3,"Queensland",0.2441
31105132726,3132726,312,"Forde",3,"Queensland",0.2146
31105132727,3132727,312,"Forde",3,"Queensland",0.2289
31105132728,3132728,312,"Forde",3,"Queensland",0.2098
31105132729,3132729,312,"Forde",3,"Queensland",0.4891
31105132801,3132801,312,"Forde",3,"Queensland",0.1371
31105132802,3132802,312,"Forde",3,"Queensland",0.1776
31105132803,3132803,312,"Forde",3,"Queensland",0.4553
31105132804,3132804,312,"Forde",3,"Queensland",1.3494
31105132805,3132805,312,"Forde",3,"Queensland",0.7018
31105132806,3132806,312,"Forde",3,"Queensland",0.3464
31105132807,3132807,312,"Forde",3,"Queensland",0.3071
31105132808,3132808,312,"Forde",3,"Queensland",0.6997
31105132809,3132809,312,"Forde",3,"Queensland",0.6477
31105132810,3132810,312,"Forde",3,"Queensland",0.3119
31105132811,3132811,312,"Forde",3,"Queensland",0.1638
31105132812,3132812,312,"Forde",3,"Queensland",0.2187
31105132813,3132813,312,"Forde",3,"Queensland",0.1792
31105132814,3132814,312,"Forde",3,"Queensland",0.1042
31105132815,3132815,312,"Forde",3,"Queensland",0.1447
31106132901,3132901,327,"Rankin",3,"Queensland",0.3015
31106132902,3132902,327,"Rankin",3,"Queensland",0.1008
31106132903,3132903,327,"Rankin",3,"Queensland",0.3671
31106132904,3132904,327,"Rankin",3,"Queensland",0.1219
31106132905,3132905,327,"Rankin",3,"Queensland",0.2032
31106132906,3132906,327,"Rankin",3,"Queensland",0.9857
31106132907,3132907,327,"Rankin",3,"Queensland",0.5802
31106132908,3132908,327,"Rankin",3,"Queensland",0.41
31106132909,3132909,327,"Rankin",3,"Queensland",0.1163
31106132910,3132910,327,"Rankin",3,"Queensland",4.3543
31106132911,3132911,327,"Rankin",3,"Queensland",0.3953
31106132912,3132912,327,"Rankin",3,"Queensland",0.2562
31106132913,3132913,327,"Rankin",3,"Queensland",0.2588
31106132914,3132914,327,"Rankin",3,"Queensland",0.1654
31106132915,3132915,327,"Rankin",3,"Queensland",0.1346
31106132916,3132916,327,"Rankin",3,"Queensland",0.1044
31106132917,3132917,327,"Rankin",3,"Queensland",0.1237
31106133001,3133001,327,"Rankin",3,"Queensland",0.1366
31106133002,3133002,327,"Rankin",3,"Queensland",0.1404
31106133003,3133003,327,"Rankin",3,"Queensland",0.1541
31106133004,3133004,327,"Rankin",3,"Queensland",0.1321
31106133005,3133005,327,"Rankin",3,"Queensland",0.1635
31106133006,3133006,327,"Rankin",3,"Queensland",0.1875
31106133007,3133007,327,"Rankin",3,"Queensland",0.4789
31106133008,3133008,327,"Rankin",3,"Queensland",0.452
31106133009,3133009,327,"Rankin",3,"Queensland",0.2749
31106133010,3133010,327,"Rankin",3,"Queensland",0.1063
31106133011,3133011,327,"Rankin",3,"Queensland",0.1331
31106133012,3133012,327,"Rankin",3,"Queensland",0.208
31106133013,3133013,327,"Rankin",3,"Queensland",0.1324
31106133014,3133014,327,"Rankin",3,"Queensland",0.1887
31106133015,3133015,327,"Rankin",3,"Queensland",0.1879
31106133016,3133016,327,"Rankin",3,"Queensland",0.2015
31106133017,3133017,327,"Rankin",3,"Queensland",0.1041
31106133018,3133018,327,"Rankin",3,"Queensland",0.2924
